layout,gset,dset,pmethod,n_process,time
1,128,8,0,2,221.58
1,128,8,0,4,118.22
1,128,8,0,8,76.33
1,128,8,0,16,63.18
1,128,8,0,32,59.11
1,128,8,0,64,46.8
1,128,8,0,128,40.13
1,128,16,1,1,315.05
1,128,16,1,2,163.2
1,128,16,1,4,83.91
1,128,16,1,8,45.11
1,128,16,1,16,23.72
1,128,16,1,32,14.82
1,128,16,1,64,10.82
1,128,16,1,128,9.22
1,128,16,0,1,509.36
1,128,16,0,2,288.47
1,128,16,0,4,157.25
1,128,16,0,8,114.42
1,128,16,0,16,110.65
1,128,16,0,32,112.78
1,128,16,0,64,92.94
1,128,16,0,128,80.19
1,128,32,1,1,318.77
1,128,32,1,2,165.59
1,128,32,1,4,83.53
1,128,32,1,8,44.57
1,128,32,1,16,24.47
1,128,32,1,32,14.54
1,128,32,1,64,7.91
1,128,32,1,128,5.55
1,128,32,0,1,719.82
1,128,32,0,2,432.09
1,128,32,0,4,247.16
1,128,32,0,8,204.77
1,128,32,0,16,210.76
1,128,32,0,32,220.88
1,128,32,0,64,181.11
1,128,32,0,128,161.74
2,1,8,1,1,127.08
2,1,8,1,2,60.96
2,1,8,1,4,32.02
2,1,8,1,8,17.83
2,1,8,1,16,10.69
2,1,8,1,32,7.82
2,1,8,1,64,5.82
2,1,8,1,128,5.45
2,1,8,0,1,128.2
2,1,8,0,2,60.95
2,1,8,0,4,31.37
2,1,8,0,8,21.63
2,1,8,0,16,9.14
2,1,8,0,32,5.78
2,1,8,0,64,3.8
2,1,8,0,128,2.89
2,1,16,1,1,128.69
2,1,16,1,2,61.28
2,1,16,1,4,32.2
2,1,16,1,8,17.22
2,1,16,1,16,9.99
2,1,16,1,32,6.67
2,1,16,1,64,4.86
2,1,16,1,128,3.95
2,1,16,0,1,130.3
2,1,16,0,2,63.01
2,1,16,0,4,32.83
2,1,16,0,8,19.48
2,1,16,0,16,11.16
2,1,16,0,32,6.41
2,1,16,0,64,4.25
2,1,16,0,128,3.3
2,1,32,1,1,131.43
2,1,32,1,2,71.38
2,1,32,1,4,32.53
2,1,32,1,8,17.53
2,1,32,1,16,10.06
2,1,32,1,32,7.18
2,1,32,1,64,4.62
2,1,32,1,128,3.45
2,1,32,0,1,134.6
2,1,32,0,2,66.05
2,1,32,0,4,33.68
2,1,32,0,8,17.97
2,1,32,0,16,10.74
2,1,32,0,32,7.56
2,1,32,0,64,4.95
2,1,32,0,128,4.04
2,2,8,1,1,129.37
2,2,8,1,2,62.9
2,2,8,1,4,34.5
2,2,8,1,8,17.07
2,2,8,1,16,9.64
2,2,8,1,32,7.46
2,2,8,1,64,4.83
2,2,8,1,128,4.01
2,2,8,0,1,129.36
2,2,8,0,2,61.68
2,2,8,0,4,31.46
2,2,8,0,8,16.96
2,2,8,0,16,9.4
2,2,8,0,32,6.23
2,2,8,0,64,4.09
2,2,8,0,128,3.13
2,2,16,1,1,128.89
2,2,16,1,2,61.46
2,2,16,1,4,31.72
2,2,16,1,8,17.0
2,2,16,1,16,9.48
2,2,16,1,32,6.12
2,2,16,1,64,9.26
2,2,16,1,128,4.29
2,2,16,0,1,133.22
2,2,16,0,2,63.77
2,2,16,0,4,32.44
2,2,16,0,8,17.4
2,2,16,0,16,10.11
2,2,16,0,32,7.22
2,2,16,0,64,4.8
2,2,16,0,128,3.71
2,2,32,1,1,131.68
2,2,32,1,2,63.38
2,2,32,1,4,32.54
2,2,32,1,8,17.36
2,2,32,1,16,10.11
2,2,32,1,32,6.62
2,2,32,1,64,4.73
2,2,32,1,128,3.31
2,2,32,0,1,138.5
2,2,32,0,2,67.33
2,2,32,0,4,34.36
2,2,32,0,8,19.14
2,2,32,0,16,11.9
2,2,32,0,32,13.89
2,2,32,0,64,6.15
2,2,32,0,128,4.95
2,4,8,1,1,127.27
2,4,8,1,2,61.25
2,4,8,1,4,31.51
2,4,8,1,8,17.84
2,4,8,1,16,9.27
