layout,gset,dset,pmethod,n_process,time
DZG,128,8,bj,16,63.18
DZG,128,8,bj,32,59.11
DZG,128,8,bj,64,46.80
DZG,128,8,bj,128,40.13
DZG,128,16,sweep,1,315.05
DZG,128,16,sweep,2,163.20
DZG,128,16,sweep,4,83.91
DZG,128,16,sweep,8,45.11
DZG,128,16,sweep,16,23.72
DZG,128,16,sweep,32,14.82
DZG,128,16,sweep,64,10.82
DZG,128,16,sweep,128,9.22
DZG,128,16,bj,1,509.36
DZG,128,16,bj,2,288.47
DZG,128,16,bj,4,157.25
DZG,128,16,bj,8,114.42
DZG,128,16,bj,16,110.65
DZG,128,16,bj,32,112.78
DZG,128,16,bj,64,92.94
DZG,128,16,bj,128,80.19
DZG,128,32,sweep,1,318.77
DZG,128,32,sweep,2,165.59
DZG,128,32,sweep,4,83.53
DZG,128,32,sweep,8,44.57
DZG,128,32,sweep,16,24.47
DZG,128,32,sweep,32,14.54
DZG,128,32,sweep,64,7.91
DZG,128,32,sweep,128,5.55
DZG,128,32,bj,1,719.82
DZG,128,32,bj,2,432.09
DZG,128,32,bj,4,247.16
DZG,128,32,bj,8,204.77
DZG,128,32,bj,16,210.76
DZG,128,32,bj,32,220.88
DZG,128,32,bj,64,181.11
DZG,128,32,bj,128,161.74
GDZ,1,8,sweep,1,127.08
GDZ,1,8,sweep,2,60.96
GDZ,1,8,sweep,4,32.02
